CODIGO,CANTIDAD,DESCRIPCION,PRECIO,
7794000006553,1,MAYONESA AJO HELLMANNS X 250GR,$3.000,
7794000008915,5,MAYONESA PICANTE HELLMANNS X 250GR,$3.000,
7794000006188,3,KETCHUP HELLMANNS X 250GR,$2.500,
7794000007802,9,BARBACOA HELLMANNS X250GR,$2.800,
7794000007741,2,GOLF HELLMANNS X250GR,$2.500,
7791866003283,7,MAYONESA MAYOLIVA X 237GR,$2.500,
7791866004211,7,MOSTAZA NATURA X250GR,$1.500,
7791620187747,5,MAYONESA FIESTA X950GR,$3.600,
720665993041,4,PAPAS FRITAS MARISA X190GR,$3.400,
720665993034,3,PAPAS FRITAS MARISA X90GR,$1.900,
720665993058,2,PAPAS FRITAS MARISA X500GR,$7.200,
7795184119770,5,MERMELADA NOEL NARANJA X454GR,$3.000,
7795184119763,5,MERMELADA NOEL DAMASCO X454GR,$3.000,
7790580132194,2,MERMELADA ARCOR NARANJA X454GR,$3.500,
7790580123437,1,MERMELADA ARCOR CIRUELA X454GR,$3.500,
7795184006001,4,MERMELADA ARCOR DURAZNO LIGTH X454GR,$3.200,
7795184006100,5,MERMELADA ARCOR NARANJA LIGTH X454GR,$3.200,
7795184006209,3,MERMELADA ARCOR CIRUELA LIGTH X454GR,$3.200,
7793046008019,6,MERMELADA DULCOR DURAZNO X500GR,$1.500,
7793046008033,9,MERMELADA DULCOR NARANJA X500GR,$1.500,
7793046008071,7,MERMELADA DULCOR CIRUELA X500GR,$1.500,
7793046008095,7,MERMELADA DULCOR FRUTILLA X500GR,$1.800,
7790080031867,1,DULCE DE LECHE SANCOR 400GR,$3.500,
7790360964557,7,PICADILLO SWIFT JAMON DEL DIABLO X88GR,$1.100,
7790150830444,9,CHOCOLATE EN POLVO CHOCOLINO LA VIRGINIA X180GR,$1.900,
7790150079898,83,SAQUITO DE CAFE TORRADO LA VIRGINIA X5GR,$300,4300
7790150080139,60,SAQUITO DE CAFE LA VIRGINIA PURO AROMA X7GR,$500,7200
7790150100172,65,"CAFE EN SOBRE INSTANTANEO CLASICO LA VIRGINIA X1,7GR",$200,
7790150100783,2,CAFE INSTANTANEO CLASICO LA VIRGINIA X100GR,$5.000,
7790150100677,3,CAFE INSTANTANEO CLASICO LA VIRGINIA X50GR,$2.700,
7790150007501,1,CAFE TOSTADO LA VIRGINIA X250GR,$3.000,
7790150100462,1,CAFE INSTANTANEO CLASICO PACKAHORRO LA VIRGINIA X170GR,$7.500,
7790150006306,4,CAFE TORRADO EQUILIBRADO MOLIDO LA VIRGINIA X125GR,$1.800,
7790787153664,2,DULCE DE LECHE ILOLAY X400GR,$3.500,
7790787153657,2,DULCE DE LECHE ILOLAY X200GR,$1.900,
7794000006362,11,PURE DE PAPAS KNORR X125GR,$2.000,
7790150370018,25,TE EN SAQUITO FLUIR LA VIRGINIA ,$0,
7790150250426,39,TE EN SAQUITO MANZANA CON CANELA LA VIRGINIA ,$1.900,
7790150370308,17,TE EN SAQUITO DETOX LA VIRGINIA,$0,
7790150331088,50,TE EN SAQUITO MANZANILLA LA VIRGINIA,$1.400,
7790150370100,25,TE EN SAQUITO INSPIRAR LA VIRGINIA,$0,
7790150320266,150,TE EN SAQUITO TILO LA VIRGINIA,$2.700,
7790150370209,25,TE EN SAQUITO RELAJAR LA VIRGINIA,$0,
7790150350171,114,TE EN SAQUITO CEDRON LA VIRGINIA ,$2.000,
7790150250150,3,TE EN SAQUITO TE CON CANELA LA VIRGINIA,$1.600,
7792710006153,172,SAQUITO DE YERBA MATE TRADICIONAL AMANDA ,$1.500,
7790150211908,2,TE EN SAQUITO LA VIRGINIA,$1.500,
7790480090006,169,MATE COCIDO TRADICIONAL LA TRANQUERA,$1.500,
7790480008254,387,TE EN SAQUITO CLASICO NEGRO GREEN HILLS,$1.800,
7792710000182,7,YERBA MATE TRADICIONAL AMANDA X500GR,$2.800,
7790387013627,2,YERBA MATE TARAGUI X500,$3.000,
7790480089734,9,YERBA MATE TRADICIONAL LA TRANQUERA X500GR,$2.300,
7793670000052,8,YERBA MATE HIERBAS SERRANAS VERDE FLOR X500GR,$2.600,
7792180004765,5,REBOZADOR FREIR MAMA COCINA X500GR,$1.500,
7792180004789,5,REBOZADOR HORNO MAMA COCINA X500GR,$1.500,
7790070433183,9,REBOZADOR PREFERIDO X500GR,$1.800,
7792180004741,3,PAN RALLADO MAMA COCINA X500GR,$1.500,
SC,3,PAN RALLADO X KILO,$2.000,
SC,4,PAN RALLADO X MEDIO KILO,$1.200,
7790072001038,4,SAL FINA CELUSAL X500GR,$4.100,
7794000008533,102,CALDO SABOR CARNE KNORR ,$300,2600
7794000008540,30,CALDO SABOR GALLINA KNORR,$300,2600
7794000008557,12,CALDO DE VERDURAS KNORR,$300,2600
7794000008519,7,CALDO DE VERDURAS BALANCE KNORR,$300,2600
7798113302069,16,AGUA SABORIZADA PLACER X 1.5LT ANANA,$1.500,
7798113302106,5,AGUA SABORIZADA PLACER X 1.5LT PERA,$1.500,
7798113302649,3,AGUA SABORIZADA PLACER X 1.5LT POMELO ROSA,$1.500,
7798113302113,2,AGUA SABORIZADA PLACER X 1.5LT POMELO AMARILLO,$1.500,
7798113302083,14,AGUA SABORIZADA PLACER X 1.5LT MULTIF,$1.500,
7798113302076,6,AGUA SABORIZADA PLACER X 1.5LT MANZANA,$1.500,
7798113301550,5,AGUA SABORIZADA PLACER X 2.5LT MANZANA,$2.200,
7798113302625,3,AGUA SABORIZADA PLACER X 2.5LT POMELO ROSADO,$2.200,
7791813111252,0,ENERGIZANTE ROCKSTAR 500ML BERRIE,$1.600,
7791813420385,3,GASEOSA PASO DE LOS TOROS X 500ML,$1.700,
7791813444381,3,GASEOSA 7UP LIMON X 500ML,$1.700,
7791813420323,2,GASEOSA MIRINDA X 500ML,$1.700,
7791813888376,1,GASEOSA LATA PEPSI X 354ML,$1.700,
7791813777021,4,GASEOSA LATA 7UP X 354ML,$1.700,
7791813800750,2,GASEOSA LATA PASO DE LOS TOROS POMELO X 269ML,$1.700,
7791813800774,4,AGUA TONICA PASO DE LOS TOROS X 269ML,$1.700,
7790895641237,6,AGUA SABORIZADA AQUARIUS X 1.5LT NARANJA,$2.600,
7790895640483,3,AGUA SABORIZADA AQUARIUS X 1.5LT MANZANA,$2.600,
7790895640490,5,AGUA SABORIZADA AQUARIUS X 1.5LT POMELO AMARILLO,$2.600,
7790895008498,9,AGUA SABORIZADA AQUARIUS X 1.5LT LIMONADA,$2.600,
8790221008504,2,AGUA SABORIZADA AQUARIUS X 2LT LIMONADA,$3.100,
7790895003301,2,AGUA SABORIZADA AQUARIUS X 2LT MANZANA,$3.100,
40084107,10,HUEVO KINDER SORPRESA ,$3.800,
7790580310806,3,CHOCOLATE TAZA MISKY FAMILIAR X 100G,$3.200,
7790580612917,10,CHOCOLATE MISKY BLANCO X 25GR,$1.000,
7790580612719,10,CHOCOLATE MISKY NEGRO X 25GR,$1.000,
7790895067716,2,GASEOSA FANTA ENVASE X 1LT,$2.000,
7790895000331,4,GASEOSA FANTA ENVASE X 2LT,$3.300,
7790895000225,5,GASEOSA SPRITE ENVASE X 2LT,$3.300,
7790895067617,2,GASEOSA COCA COLA ENVASE X 2LT,$3.300,
7790895639951,3,GASEOSA COCA COLA CERO ENVASE  X 2.5LT,$3.700,
7790895067556,3,GASEOSA COCA COLA CERO DESC. X 1.5LT,$3.500,
7790895650833,25,GASEOSA COCA COLA DESC X 600ML,$1.700,
7798422620120,3,ENERGIZANTE MONSTER PIPELINE PUNCH X 473ML,$3.000,
7795176771528,6,GASEOSA MARINARO ICE X 3LT LIMA LIMON,$2.000,
7795176771511,10,GASEOSA MARINARO ICE X 3LT POMELO ROSADO,$2.000,
7795176771498,9,GASEOSA MARINARO ICE X 3LT COLA,$2.000,
7795176771504,12,GASEOSA MARINARO ICE X 3LT GRANADINA,$2.000,
7795176771481,8,GASEOSA MARINARO ICE X 3LT NARANJA,$2.000,
7795176771467,8,GASEOSA MARINARO ICE X 3LT LIMONADA,$2.000,
7795176771535,4,GASEOSA MARINARO ICE X 3LT UVA,$2.000,
7795176771474,9,GASEOSA MARINARO ICE X 3LT MANZANA,$2.000,
7795176771559,2,ENERGIZANTE REAKTOR 1.5LT,$4.000,
7799155000197,4,AGUA VILLAVICENCIO X 2LT,$1.900,
7799155000180,4,AGUA VILLAVICENCIO X 1.5LT,$1.800,
7790315058201,9,AGUA VILLAVICENCIO X 750ML C/PICO,$1.900,
7799155000173,6,AGUA VILLAVICENCIO X 500L,$1.600,
7798062547559,10,AGUA VILLA DEL SUR X 2.25LT,$2.300,
7798113300058,15,AGUA TONICA MANAOS X 2.25LT,$2.000,
7798085681834,1,JUGO NARANJA CITRIC X 1LT,$4.400,
7798085681469,5,JUGO NARANJA CITRIC X 750ML,$3.300,
7798085681452,6,JUGO NARANJA CITRIC X 500ML,$2.400,
7798085681605,6,JUGO FRUTOS DE ESTACION CITRIC X 500ML,$2.400,
7790036000572,1,JUGO MANZANA BAGGIO X 200ML,$700,
7790036000626,9,JUGO DURAZNO NARANJA BAGGIO X 200ML,$700,
7790036000565,5,JUGO NARANJA BAGGIO X 200ML,$700,
7790036000589,3,JUGO DURAZNO BAGGIO X 200ML,$700,
7798119220299,24,ENERGIZANTE SPEED LATA X 250ML,$2.000,
90435225,1,ENERGIZANTE REDBULL X 355ML,$3.900,
7799155001750,1,AGUA ELECTROLITICA FULL SPORT BLUE X 500ML,$1.500,
7798420160857,4,SUEROX LIMONADA X 630ML,$2.500,
7798140257417,7,SUEROX FRUTILLA Y KIWI X 630ML,$2.500,
7790895064111,1,GASEOSA FANTA X 3LT,$4.600,
7790895650000,2,JUGO CEPITA FRESH POMELO X 3LT,$2.200,
7791813888475,8,GASEOSA PEPSI COLA X 3LT,$4.800,
7791813444473,9,GASEOSA 7UP LIMON X 3LT,$2.800,
7791813000112,6,GASEOSA MIRINDA MANZANA X 3LT,$3.000,
7790580142421,2,PASAS DE UVA CON CHOCOLATE AGUILA X 120GR,$7.700,
7790580139438,1,ALMENDRAS BLACK VELVET AGUILA X 120GR,$7.700,
7790580136420,3,CRUNCHY MIX AGUILA X 120GR,$7.700,
7798147060010,21,DISCO EMPANADA DOÑA MARIA X 12U,$500,
7793964000096,2,DISCO EMPANADA HOJALDRE LA SICILIANA X 12U,$800,
7793964000010,6,FIDEOS FRESCOS LA SICILIANA BLANCOS X 500GR,$3.000,
7793964000027,5,FIDEOS FRESCOS LA SICILIANA VERDES X 500GR,$3.000,
7793964000065,4,PASCUALINA LA SICILIANA X 500GR,$2.000,
7793890261325,5,FAJITAS TIA ROSA X 8U,$3.800,
7790080037463,3,CHOCOLATADA SANCOR X 200GR,$1.100,
7798338291056,17,CHOCOLATADA TRES NIÑAS X 200ML,$1.000,
7798338291520,6,LECHE DE FRUTILLA TRES NIÑAS X 190ML,$1.000,
7798338291537,8,LECHE DE VAINILLA TRES NIÑAS X 190ML,$1.000,
7790787002672,6,CHOCOLATADA ILOLAY KIDS X 200ML,$1.200,
7791337008403,1,CHOCOLATADA LA SERENISIMA X 1LT,$4.000,
7792401011343,6,CREMA DE LECHE COSALTA X 200GR,$2.500,
7792401110190,2,YOGUR VASITO MOMMY VAINILLA X 125GR,$900,
7792401010193,6,YOGUR VASITO MOMMY FRUTILLA X 125GR,$900,
7792401110282,2,YOGUR VASITO MOMMY CON CEREALES X 125GR VAINILLA,$1.800,
7792401010285,2,YOGUR VASITO MOMMY CON CEREALES X 125GR FRUTILLA,$1.800,
7798151771421,11,QUESO CREMA JAMON TREMBLAY X 180GR,$2.500,
7798151771407,5,QUESO CREMA CLASICO TREMBLAY X 180GR,$2.500,
7790742335500,6,LECHE LA SERENISIMA LARGA VIDA X 1LT,$2.800,
7790742358608,4,LECHE LA SERENISIMA PROTEIN X 1LT,$2.800,
7793940052002,4,MANTECA LA SERENISIMA X 100GR,$2.200,
7793940054006,5,MANTECA LA SERENISIMA X 200GR,$4.300,
7790080010879,1,MANTECA SANCOR X 200GR,$3.500,
7798185870015,4,MANTECA CLUCELAT X 100GR,$1.500,
7791058004166,1,YOGUR VASITO MANFREY FRUTOS DEL BOSQUE X 150GR,$1.000,
7792401010162,0,LECHE 0 LACTOSA COSALTA X 1LT,$2.000,
7792401010148,10,CHOCOLATADA COSALTA X 1LT,$2.800,
7792401110183,,YOGUR ENTERO MOMMY X 1LT DURAZNO,$2.500,
7792401010186,,YOGUR ENTERO MOMMY X 1LT FRUTILLA,$2.500,
7792401210180,,YOGUR ENTERO MOMMY X 1LT VAINILLA,$2.500,
7792401010278,,YOGUR BEBIBLE MOMMY X 1LT FRUTILLA,$2.100,
7792401110275,,YOGUR BEBIBLE MOMMY X 1LT DURAZNO,$2.100,
7792643000013,78,LECHE ENTERA MU X 1LT,$1.200,
7798304851659,"4,97",PAPAS FRITAS CONGELADAS X KG,$12.500,
7798068288685,2,PAPAS NOISSETTE X 1 KG,$7.700,
7798068288654,3,CARITAS DE PAPA X 1KG,$3.000,
7795735601198,2,MAGDALENAS DON SATUR X 200GR VAINILLA CON CHIPS,$2.300,
7795735601204,3,MAGDALENAS DON SATUR X 200GR CHOCOLATE,$2.300,
7795735601167,1,MAGDALENAS DON SATUR X 200GR VAINILLA,$2.300,
7795735601174,1,MAGDALENAS DON SATUR X 200GR VAINILLA CON DDL,$2.300,
7798185030020,11,PAN DE HAMBURGUESA LA PANERITA X 4,$1.700,
7798329930018,2,TORTILLAS DE TRIGO TAPAS X 320G,$3.800,
7792180146090,3,GALLETAS CRUJITAS 9 DE ORO X 120GR QUESO,$1.300,
7792180146137,3,GALLETAS CRUJITAS 9 DE ORO X 120GR JAMON SERRANO,$1.300,
7792180146120,2,GALLETAS CRUJITAS 9 DE ORO X 120GR CEBOLLA Y CREMA,$1.300,
7794000005839,5,SOPA DE LETRAS KNORR X 108GR,$2.300,
7794000005884,4,SOPA CREMA ZAPALLO X NUEX KNORR X 70GR,$2.300,
7791672001985,1,PAN DE NAVIDAD SIN FRUTAS FANTOCHE X 400GR,$4.000,
7790150430392,8,BICARBONATO ALICANTE X 50GR,$1.000,
7794000005815,1,SOPA DE VEGETALES CARACOLITOS TRICOLOR KNORR X 108GR,$2.300,
7790310985649,3,DORITOS SABOR QUESO X 77GR,,
7790310985267,2,DORITOS SABOR QUESO X 40GR,,
7790310984314,2,RUEDITAS PEP SABOR PIZZA X 74GR,,
7790310987926,1,DORITOS DINAMITA EXTRA FLAMINHOT X 82GR,,
7790310987070,1,DORITOS SWEET CHILI X 74GR,$3.000,
7790310985502,1,PAPAS LAYS KETCHUP X 77GR,,
7790310985557,1,PAPAS LAYS QUESO CREMA Y CEBOLLA X 77GR,,
7790310986813,1,PAPAS LAYS PROVOLETA X 77GR,,
7790310985434,1,PAPAS LAYS JAMON SERRANO X 77GR,,
714604434535,1,PAPAS SEMIX XTREME PICANTE X 100GR,$3.800,
7790040147782,3,GALLETAS SALADIX PICANTE X 30GR,,
7798363030019,0,PAN DE VIENA PANIFICADORA DEL NORTE X 6U,TODOS VERDES,
7798165030033,7,PAN DE HAMBURGUESA PANIFICADORA DEL NORTE X 6U,,
7798441960023,1,PAN DE HAMBURGUESA PABIA X 4U,,
7798363030026,1,PAN DE MIGA SALVADO PANIFICADORA DEL NORTE X 10U,,
7798187212363,1,BATATAS SABOR PAPRIKA AHUMADA QUENTO SNACK X 70G,,
7798187212387,1,BATATAS SABOR MOSTAZA Y MIEL QUENTO SNACK X 70G,,
7798187212233,1,NACHOS SABOR GUACAMOLE QUENTO SNACK X 70G,,
7798187211878,1,NACHOS SABOR QUESO QUENTO SNACK X 82G,,
7798187211793,1,TOSTADAS DE ARROZ QUENTO SNACK X 120GR,,
714604526940,1,CHIPS BATATA SEMIX CON SAL DE MAR X 120GR,,
7798187211663,1,CONO DE QUESO QUENTO SNACK X 80G,,
7798187212202,3,PAPAS FRITAS SABOR QUESO CHEDDAR X 82GR,,
7798187212189,3,PAPAS FRITAS BARBACOA X 82GR,,
7790040152489,2,PANETONNE BAGLEY ARANDANOS Y CHIPS X 400GR,$12.500,
7793679900215,5,PAN DE VIENA MARISA X 6U,,
7793479000222,3,PRE PIZZA MARISA X 1U,$1.500,
7793479000239,6,PAN DE HAMBURGUESA MARISA X 6U,,
7798363030064,4,PRE PIZZA PANIFICADORA DEL NORTE X 3U,$2.500,
7792350067019,24,ARVEJAS SECAS DIBUJADAS INALPA X 300G,,
7622202370335,8,GELATINA ROYAL TANG FRUTIVERSO X 25G,,
7791014122088,1,PRESERVATIVO TULIPAN TATTOO X 3 U,,
7791014001161,2,PRESERVATIVO TULIPAN ULTRA RESIST X 3U,,
7791014001178,3,PRESERVATIVO TULIPAN FRUTILLA X 3U,,
7791014122323,3,PRESERVATIVO TULIPAN BIG X 3U,,
7791014001772,2,PRESERVATIVO TULIPAN CONTROL RETARDANTE X 3 U,,
7791014001765,2,PRESERVATIVO TULIPAN NEON X 3U,,
7791014001154,2,PRESERVATIVO TULIPAN SUPER FINO X 3U,,
7791014090325,4,PRESERVATIVO TULIPAN CLASICO X 3U,,
7791014001802,4,PRESERVATIVO TULIPAN ULTRA FINO X 3U,,
7791014090332,3,PRESERVATIVO TULIPAN TEXTURADO X 3U,,
7790380020172,10,BARRITA CEREAL FLOW CEREAL MANZANA X 21G,,
7790150161500,1,CAPPUCCINO LA VIRGINIA X 125GR CHOCO MOCHA,$1.900,
PANTIRA,,PAN TIRA,$600,
FACTURAS,,FACTURAS,$1.000,
